,id,title,description,thumbnail,channelTitle,channelId,viewCount,likeCount,dislikeCount,commentCount
0,ic2GiMxXO48,6 Amazing Life Hacks,https://www.youtube.com/channel/UCEZT7lHkvy7KkN3C6TWZ7TQ Subscribe to Aredrine!! Track: Kasger - Highland [NCS Release] Music provided by NoCopyrightSounds. Watch:...,https://i.ytimg.com/vi/ic2GiMxXO48/default.jpg,MrGear,UCo6DJdltbIub80bLiyJRv3w,3723066,19954,4844,1189
1,pvXsvUOfgfo,The Best Top 6 AMAZING Auditions - America's Got Talent 2017 - MUST WATCH!,CLICK HERE to Learn How To Sing Tips To Improve Your Singing Voice ▻ http://MusicTalentNow.com/Learn-To-Sing ◅ ♥ Please Follow Me On Twitter ♥ http://bit.ly/Twitter_MusicTalentNow...,https://i.ytimg.com/vi/pvXsvUOfgfo/default.jpg,MusicTalentNow,UCDnEa2HC2eeT-cN3pAKnNTw,1226098,6572,363,250
2,_PyvzUBY6_4,"6 Weird, But Amazing Auditions On Got Talent","Sometimes, it pays to be a little different... Got Talent Global brings together the very best in worldwide talent, creating a central hub for fans of the show to keep up to date with the...",https://i.ytimg.com/vi/_PyvzUBY6_4/default.jpg,Got Talent Global,UCe_Fx4EZAgKjDz0aQ_Y7hSA,10849921,45777,2660,2412
3,MWyfuQdbAmk,6 Amazing Life Hacks for Smartphone,6 Amazing Life Hacks for Smartphone Subscribe for new interesting videos! https://goo.gl/Q7P2Uh Follow us: Website: http://lifehacksdiy.com Facebook: https://www.fb.com/wearexchannel Twitter:...,https://i.ytimg.com/vi/MWyfuQdbAmk/default.jpg,WEAREX,UCP4ACC1BpVsPszl3cmQzuww,37303,306,108,42
4,af3dEbAd4Os,6 Amazing Cooking Tricks,6 Crazy tricks to use in the kitchen! List of tricks in this video: 6) Easy egg shelling 5) Garlic shelling 4) Kiwi skin removal 3) Banana cutting trick 2) Paprika cutting 1) Simple potato...,https://i.ytimg.com/vi/af3dEbAd4Os/default.jpg,How To Make Sushi,UCosny7dI3LVZE-GWR1RKxsg,12169591,79184,3078,2448
5,3VMZS4RS-eA,6 Amazing Science Experiments,6 awesome magic trciks Music: JJD - Future [NCS Release] https://www.youtube.com/watch?v=n1ddq... JJD: • https://soundcloud.com/jjdofficial • https://www.facebook.com/jjdofficial •...,https://i.ytimg.com/vi/3VMZS4RS-eA/default.jpg,Mr SunY,UCpzYeWbOFwHztPgliIB8f_g,5902385,10852,4058,404
6,GgcmwpgNt3Q,6 Amazing Sports CARS You Should Buy,FASTEST CARS KNOWN AS SUPERCAR TOP SPORTS CARS ON EARTH 6-lamborghini huracan https://www.lamborghini.com/en-en/models/huracan https://en.wikipedia.org/wiki/Lamborghini_Hurac%C3%A1n http://www.c...,https://i.ytimg.com/vi/GgcmwpgNt3Q/default.jpg,TOP 10 INFORMATION - TTI,UCmeBJBLXcXamuPWl-0t5S4w,537087,1657,359,181
7,vavlt0xh9ao,6 AMAZING Tricks with Balloons !,In this video you will see 6 amazing tricks with balloons.,https://i.ytimg.com/vi/vavlt0xh9ao/default.jpg,Experiment at Home,UCmUuT-rYYah9FYSamCH1Ljw,553243,2688,272,70
8,nurs528EUDM,Top 6 Amazing Hairstyles Tutorials for THIS WEEK 2017 😍😄,The most beautiful Hairstyles Tutorials This week 2017 May! The Best and NEW Hairstyles Tutorials This week 2017! The Best Hair Transformations | Beautiful Hairstyles & Tutorials Compilation...,https://i.ytimg.com/vi/nurs528EUDM/default.jpg,Make-Up & Hair Tutorials,UCJbZ7Mc8zRIQVxDjsgm-nAw,119436,1353,66,52
9,6El4JbGL5RA,6 Amazing Smartphone Life Hacks!,"Hello my dear friends,in this video I'm going to show you 6 awesome Life Hacks for Smartphone. That is all folks I wished to share with you! Please subscribe to my YouTube channel with some...",https://i.ytimg.com/vi/6El4JbGL5RA/default.jpg,ADDYOLOGY,UC_AB7gQJhlSV25e2a3UICZQ,34783,483,52,38
