,id,title,description,thumbnail,channelTitle,channelId,viewCount,likeCount,dislikeCount,commentCount
0,vmAMwt66ZxQ,15 LIES THAT YOU STILL BELIEVE,"TechZone ▻ https://www.youtube.com/channel/UC6H07z6zAwbHRl4Lbl0GSsw Your belief system is probably built upon convictions borrowed from your grandma, stories from your childhood, scary...",https://i.ytimg.com/vi/vmAMwt66ZxQ/default.jpg,#Mind Warehouse,UCYenDLnIHsoqQ6smwKXQ7Hg,8491006,71191,12496,8773
1,s7UOt9W9H3M,8 Lies ALL YOUTUBERS Tell! | Aspyn Ovard,SHOP TIHS VIDEO! White Flowy Top - http://bit.ly/2pg4nIs (ON SALE!!!) Maroon Sweater - http://bit.ly/2o2VG4G Floral Printed Tunic - http://bit.ly/2oc7YI7 Ripped Jeans - http://bit.ly/2ockZ4j...,https://i.ytimg.com/vi/s7UOt9W9H3M/default.jpg,Aspyn Ovard,UCR1EMxu9anmg7DhJBxNUbsA,892002,53105,553,543
2,v0h7k-hyljA,(Emotional) 8 Lies Of A Mother | Allah Is Greatest,(Emotional) 8 Lies Of A Mother | Allah Is Greatest Speaker: Zulfiqar Ahmed Naqshbandi If you like our content and would like to stay updated please subscribe and press the bell (next to the...,https://i.ytimg.com/vi/v0h7k-hyljA/default.jpg,Allah Is Greatest,UCWu9-wK4cB4a07TYlX4vS4Q,1123993,5940,694,805
3,hBkZ2ORzYD8,8 Lies About Dinosaurs You Need to Stop Believing,"So there are a lot of misconceptions about dinosaurs floating around. From humans doing battle with them to Brontosaurus not really existing, join us as we explore 8 lies about dinosaurs that...",https://i.ytimg.com/vi/hBkZ2ORzYD8/default.jpg,Slapped Ham,UCw4ccFtBN7dhQBcHmE0qylg,2348156,13931,4489,8648
4,edBM-ifCD8A,8 MENSONGES sur L'ESPACE ☄️,Imaginez. Vous êtes dans l'espace sans combinaison. Qu'est-ce qui va arriver à votre corps ? Vous avez surement vu pleins films avec des morts affreuses de cosmonautes. Mais si je vous...,https://i.ytimg.com/vi/edBM-ifCD8A/default.jpg,Trash,UCfGfdZuYifBYb1fmZcL1JBQ,1220827,48053,1980,3335
5,EQAnP7Y7Trk,TITANIC and 7 BIGGEST LIES TOLD IN HISTORY,"JELLY GUMMY BEAR▻ https://www.youtube.com/channel/UC2juHk2GAbgAuhMzg5FF0bA Can you remember how many times people have lied to you? It's not easy to say a number, right? If you ask people...",https://i.ytimg.com/vi/EQAnP7Y7Trk/default.jpg,#Mind Warehouse,UCYenDLnIHsoqQ6smwKXQ7Hg,3539642,38136,3769,6759
6,SSl8Lv6JpIE,8 Lies You've Been Told about Islam,Get more Tips here! www.destinationtips.com Muslims have a lot of bad press recently so here are 9 Islamic myth-busters! Lie 1 Muslims hate the West. Muslims even raise their children to hate...,https://i.ytimg.com/vi/SSl8Lv6JpIE/default.jpg,Destination Tips,UCan3o0truzp0Kpy2uTUKJEA,15994,366,129,260
7,rffuN79K2pQ,8 Lies about Living in Korea,twitter/instagram @gl3nngogo Facebook Page https://www.facebook.com/gl3nngogo.,https://i.ytimg.com/vi/rffuN79K2pQ/default.jpg,Glenn GoGo,UCxnMju4r-wa0KRsSmqsI2Pg,231934,3038,181,778
8,PDBy4PIflZM,8 LIES ABOUT LIVING IN  JAPAN,Just some common misconceptions about Japan hope this helps! Add Me!!!! (ﾉ^ヮ^)ﾉ*:・ﾟ✧ ✧INSTAGRAM✧ kristinangrace ✧ SNAPCHAT ✧ kristinadayo ✧TWITTER✧kristinadayo *:・ﾟ...,https://i.ytimg.com/vi/PDBy4PIflZM/default.jpg,Kristina Grace,UC8_RcYp_YOcnSD29FipWQsw,127540,2473,200,627
9,cPb4mP6Ui_0,8 lies they have told you!,,https://i.ytimg.com/vi/cPb4mP6Ui_0/default.jpg,LNT,UCTuIso5e8RpZPvPdBSYhqcw,4604,693,5,88
