,id,title,description,thumbnail,channelTitle,channelId,viewCount,likeCount,dislikeCount,commentCount
0,E5cc5lUbWfQ,DEADLY PARKOUR FAILS COMPILATION (ALMOST DIED),"WATCH THIS VIDEO AT YOUR OWN RISK ➠➠➠ Compilation of scariest parkour fails. ▻DEADLY PARKOUR FAILS COMPILATION (ALMOST DIED) ☆Watch, like, share and Comment your favorite...",https://i.ytimg.com/vi/E5cc5lUbWfQ/default.jpg,Deewakar Tyagi Films,UCJoVouiN-j2943AibfvpLnw,1341736,5116,2446,2167
1,wm0ywsD9V88,Lucky People Compilation,The compilation of some incredible lucky people. Some of them were so near to the death but they still alive with little or without injuries. ✓SUBSCRIBE http://goo.gl/V5AsG8 ✓ FACEBOOK...,https://i.ytimg.com/vi/wm0ywsD9V88/default.jpg,CompilarizTV,UClhhwHPBWGiYpOCHmvrG6pw,26013995,73121,5008,8137
2,Y5et3wNaANQ,10 Times WWE Superstars Almost Died In The Ring,Subscribe for more WWE videos! Check out our other videos. Fun Fact: Kleenex tissues were originally used as filters in gas masks. 10 Times WWE Superstars Almost Died In The Ring.,https://i.ytimg.com/vi/Y5et3wNaANQ/default.jpg,Watch WWE,UCOqk7rmw8xfOyRmojOzcC1w,5871113,24591,5984,2002
3,IPLkET23X-U,My Mom Almost Died!,my mom flipped her car a few times on her way to work. Thank god she's ok! she's doing well. Sorry for the lag we have a ton of great videos coming asap. ill be posting a lot more frequent...,https://i.ytimg.com/vi/IPLkET23X-U/default.jpg,Danny Duncan,UC94lW_-Hr_uA7RcJ3D-WPOg,346443,25815,456,2645
4,V4_lKP2r7Rs,How I Almost Died...,LIKE if you enjoyed thanks for watching! this is how i almost died! NEW CHANNEL SUBSCRIBE FOR A HUGE GIVEAWAY CHANCE! https://www.youtube.com/channel/UC0E7RY0HOEqwxlUtivoXq0w Subscribe...,https://i.ytimg.com/vi/V4_lKP2r7Rs/default.jpg,XtremeGamez,UCLe_kjXzRP_0opzw-BXiQxw,4264149,140000,6825,32906
5,Q5PbeobYX8A,"Dear YouTube, This Is How Erika & I Almost Died.. {FULL STORY}",This was terrifying. SUBSCRIBE ▻ http://bit.ly/SUB2JAKEPAUL | ☆ PREVIOUS VLOG ▻ https://www.youtube.com/watch?v=MoUJ0HjGhew GET OUR NEW MERCH HERE▻ https://fanjoy.co/collections/jake...,https://i.ytimg.com/vi/Q5PbeobYX8A/default.jpg,Jake Paul,UCcgVECVN4OKV6DH1jLkqmcA,3311160,112945,7608,23027
6,eRpIZSiYUtI,15 Football players who Nearly Died on the pitch,Football/Soccer players return from Death ▻SUBSCRIBE : https://goo.gl/cX3hC0 ====================================== • Follow me: Facebook: https://goo.gl/YlQqaQu Twitter: https://goo.gl/WKT371...,https://i.ytimg.com/vi/eRpIZSiYUtI/default.jpg,Felixe,UCTgVl5peu2WD7LhbLDdmfgA,10095531,62197,4630,6680
7,Hf42y3zihaY,"TOP 10 YOUTUBERS WHO ALMOST DIED! (Jake Paul, RomanAtwood, Tanner Fox)","TOP 10 YOUTUBERS WHO ALMOST DIED! (Jake Paul, RomanAtwood, Tanner Fox) PLEASE SUBSCRIBE - https://www.youtube.com/channel/UCNtC... I upload almost everday! SUBSCRIBE and dont forget to turn...",https://i.ytimg.com/vi/Hf42y3zihaY/default.jpg,Top 10 Maniacs,UC5UImtH7_GxOkoWYaZdavxg,150954,953,121,178
8,k7qXcUFxMPI,Times I've Almost Died! | Meghan McCarthy,Meghan talks about almost dying and napping. SUBSCRIBE! http://www.youtube.com/subscription_center?add_user=hemeeyahello13 TWEET ME! @MeghanWMcCarthy...,https://i.ytimg.com/vi/k7qXcUFxMPI/default.jpg,Meghan McCarthy,UCFQr7NSAtaJ8sBK66n1OSEg,2832612,57996,925,11450
9,aCLWLLl4f5Y,Almost Died on Slip N Fly Water Slide at El Vergel,"Almost Died on Slip N Fly water park slide at Albercas El Vergel aqua park in Tijuana, Mexico. I simply landed on my stomach and face from about 20 feet. Facebook ▻ https://www.facebook.com/Amus...",https://i.ytimg.com/vi/aCLWLLl4f5Y/default.jpg,AmusementForce,UCycM0Fd584iW3IpgCAjaSEw,1886706,5511,1379,710
10,Uq6PEfRYSdY,I ALMOST DIED!,A True Storytime Update.,https://i.ytimg.com/vi/Uq6PEfRYSdY/default.jpg,PewDiePie,UC-lHJZR3Gqxm24_Vd_AJ5Yw,3940025,261656,7505,25868
