,id,title,description,thumbnail,channelTitle,channelId,viewCount,likeCount,dislikeCount,commentCount
0,1nydxbGhgv8,Dua Lipa - Blow Your Mind (Mwah) (Official Video),MY DEBUT ALBUM #DL1 IS OUT NOW!!! A massive thank you to everyone buying and streaming it THANK YOU MY LOVES https://wbr.ec/dualipa-album Exclusive SIGNED coloured vinyl...,https://i.ytimg.com/vi/1nydxbGhgv8/default.jpg,Dua Lipa,UC-J-KZfRV8c13fOCkhXdLiQ,137195092,1099417,31638,22825
1,8zmCl-f9144,Dua Lipa - Blow Your Mind (Mwah) LYRICS,My personal channel- https://www.youtube.com/channel/UC5wLQycLzbE-fH41X6X_ZOA.,https://i.ytimg.com/vi/8zmCl-f9144/default.jpg,YouSingWellLYRICS,UCRVzxfocLV7cZ4rWzeDuy7w,5099329,38112,962,778
2,HJUWoQ2FWMc,Dua Lipa - 'Blow Your Mind (Mwah) (Live At Capital's Summertime Ball 2017),Subscribe: http://bit.ly/SubscribeToCapitalFM Get involved with the UK's No. 1 Hit Music Station! Website: http://www.capitalfm.com/ Facebook: http://www.facebook.com/CapitalFM Twitter: http://twi...,https://i.ytimg.com/vi/HJUWoQ2FWMc/default.jpg,Capital FM,UCZzwjZPc6R_PbnDgFVMwlvQ,2807520,29866,330,887
3,ZPgtqTcAzFY,Ohana Bam - Blow Your Mind [Music Video],Download/Stream: https://lnk.to/BamBlowYourMind Video and Editing by Lake Effect @lakeeffect.la FOLLOW OHANA BAM--- http://ohanabam.com http://soundcloud.com/ohanabam http://twitter.com/ohanabam...,https://i.ytimg.com/vi/ZPgtqTcAzFY/default.jpg,Ohana Bam,UC7cdEBfqSfIH62arlTi0GEQ,138489,2699,54,309
4,N0VYycMh8w4,Blow Your Mind -@DuaLipa | @DanaAlexaNY Choreography,Choreography from my weekly classes in Los Angeles Song: Blow Your Mind By: Dua Lipa Shot by @MytypoLife at Millennium Dance Complex FIND DANA https://www.instagram.com/danaalexa_/?hl=en https://t...,https://i.ytimg.com/vi/N0VYycMh8w4/default.jpg,DanaAlexaDance,UC9BEaz3Zs2B-SOBZKVt3Gcw,103955,3684,21,154
5,ui4jqQV7rco,Dua Lipa 'Blow Your Mind' (Mwah) in the Live Lounge,"Dua Lipa performs Blow Your Mind (Mwah) in the BBC Radio 1 Live Lounge for Clara Amfo. In the UK? Check out Clara Amfo's Radio 1 show including more live lounges here http://bit.ly/clara_amfo,...",https://i.ytimg.com/vi/ui4jqQV7rco/default.jpg,BBC Radio 1,UC-FQUIVQ-bZiefzBiQAa8Fw,4340719,41588,443,1147
6,o3Oa9wmMP9o,"Dua Lipa performs ""Blow Your Mind"" LIVE on Wish 107.5 Bus","WATCH: British pop star Dua Lipa sings her smash hit ""Blow Your Mind"" live on the Wish 107.5 Bus Stream this song via Spotify: https://open.spotify.com/album/7fb7W4noziWjuzWsdr3DzT Get updates...",https://i.ytimg.com/vi/o3Oa9wmMP9o/default.jpg,Wish 1075,UC4mNKqTuEvp9tVXWz43ijwQ,2274086,30589,291,2034
7,07RFX8O89bQ,Blow Your Mind - Dua Lipa (Lyrics),ALL CREDIT IS GIVEN TO PRODUCTION AND ARTIST AND I DO NOT TAKE CREDIT FOR ANY OF IT. I AM JUST HERE TO PROVIDE THE LYRICS.,https://i.ytimg.com/vi/07RFX8O89bQ/default.jpg,RoseLyrix,UCvMBYbF5Xpxwae5Krg7aL8w,73344,608,11,5
8,8_YOGgZaE9g,Tiësto & MOTi - Blow Your Mind (Official Music Video),Tiësto & MOTi - Blow Your Mind is OUT NOW! Grab your copy on Beatport HERE: http://btprt.dj/1tfJKg8 Stay up to date on more Spinnin' artists & music here! ▻ https://spinninrecords.com ...,https://i.ytimg.com/vi/8_YOGgZaE9g/default.jpg,Spinnin' Records,UCpDJl2EmP7Oh90Vylx0dZtA,5342121,48744,1787,1118
9,MxG8zPZ_nZ8,Blow Your Mind (Mwah) - Dua Lipa - Just Dance 2018,"This video is a highlight from one of my live streams! Come join us on Twitch, I'm live almost every day. TWITCH: http://www.twitch.tv/littlesiha TWITTER: https://twitter.com/littlesiha INSTAGRAM:...",https://i.ytimg.com/vi/MxG8zPZ_nZ8/default.jpg,littlesiha,UCtdGCLYnMETjajCjcjshRpg,912936,9973,632,414
10,EV7q7wtqJec,Dua Lipa - ‘Blow Your Mind’ - (Live At Capital’s Jingle Bell Ball 2017),Subscribe: http://bit.ly/SubscribeToCapitalFM Get involved with the UK's No. 1 Hit Music Station! Website: http://www.capitalfm.com/ Facebook: http://www.facebook.com/CapitalFM Twitter: http://twi...,https://i.ytimg.com/vi/EV7q7wtqJec/default.jpg,Capital FM,UCZzwjZPc6R_PbnDgFVMwlvQ,318171,8723,39,227
