,id,title,description,thumbnail,channelTitle,channelId,viewCount,likeCount,dislikeCount,commentCount
0,OOQlCD5qMPY,"DJ Duvvada Jagannadham | Telugu Full Movie 2017 | Allu Arjun, Pooja Hegde","Watch DJ Duvvada Jagannadham Full Movie. #DJ Movie Stars #AlluArjun, #PoojaHegde Produced by Dil Raju & Directed by Harish Shankar. Movie - DJ Duvvada Jagannadham Cast - Allu Arjun, Pooja...",https://i.ytimg.com/vi/OOQlCD5qMPY/default.jpg,Dil Raju,UCR-uD130PlXKww_J2Q63CMg,9814060,41292,7441,2137
1,JYApzdYCQew,"Savitri Latest Telugu Full Movie || Nara Rohit, Nanditha ||  2017 Telugu Movies","Savitri Latest Telugu Full Movie Movie: Savitri, Starring: Nara Rohit, Nanditha, Director: Pavan Sadineni, Music: Shravan Producer: Dr. V.B. Rajendra Prasad, Release Date: 1 April 2016. Songs:...",https://i.ytimg.com/vi/JYApzdYCQew/default.jpg,Volga Video,UCIeNlITYK46VkR7yIuTL8GQ,3641415,7941,2118,882
2,yR1OwH_gmiI,"Okka Ammayi Thappa Full Movie - 2017 Latest Telugu Full Movie - Sundeep Kishan, Nithya Menon","Watch Okka Ammayi Thappa Full Movie. Starring: Sundeep Kishan, Nithya Menon, Ravi Kishan, Sapthagiri, Ali, Thagubothu Ramesh, Prudhvi and Among Others. For More Latest Movies, Comedy Scenes,...",https://i.ytimg.com/vi/yR1OwH_gmiI/default.jpg,Bhavani HD Movies,UCgFyj4ZYwFOhaosUvrYne_w,2975981,9488,1329,995
3,A-dLWYER8HE,Dora Telugu Full Movie - Suspense Thriller - 2017 Latest Telugu Movies - Nayantara,"Watch Dora Latest Telugu Full Movie - Horror Thriller Film. Starring: Nayanthara, Thambi Ramaiah, Harish Uthaman, Sulile Kumar And Among Others. For More Latest Movies, Comedy Scenes, Video...",https://i.ytimg.com/vi/A-dLWYER8HE/default.jpg,Bhavani HD Movies,UCgFyj4ZYwFOhaosUvrYne_w,1383089,3471,554,308
4,sqW95LOMrBU,"Nenu Local | Telugu Full Movie 2017 | Nani, Keerthy Suresh","Watch Nenu Local Full Movie. Starring #Nani, #KeerthySuresh, Produced by Dil Raju & Directed by Trinadha Rao. Movie - Nenu Local Cast - Nani, Keerthy Suresh Screenplay - Direction : Trinadha...",https://i.ytimg.com/vi/sqW95LOMrBU/default.jpg,Dil Raju,UCR-uD130PlXKww_J2Q63CMg,26125231,96190,11846,6574
5,0Zp0dvT3nCQ,Andamaina Jeevitham Full Movie - Anupama Parameswaran - 2017 Latest Telugu Movies - Dulquer Salman,"Watch Anupama Parameswaran ""ANDAMINA JEEVITHAM"" Full Movie. Starring: Dulquer Salman, Anupama Parameswaran Among Others For More Latest Movies,Comedy Scenes,Video Songs,Movie Parts And Scenes...",https://i.ytimg.com/vi/0Zp0dvT3nCQ/default.jpg,Bhavani HD Movies,UCgFyj4ZYwFOhaosUvrYne_w,4187032,16210,1718,1563
6,_kw36StQSdg,Latest 2018 Telugu Full Movie 4K Ultra | Online Telugu Full Movie | Latest Telugu Full Length Movies,"Latest 2018 Telugu Full Movie 4K Ultra.Lakshmi Kalyanam Telugu Full Movie featuring Nandamuri Kalyan Ram and Kajal Aggarwal, Directed by Teja. Music composed by RP Patnaik and produced by K...",https://i.ytimg.com/vi/_kw36StQSdg/default.jpg,2018 Latest Telugu Full Movies,UCD3gmqXqay6dCyh4QPnSM9g,616454,605,255,99
7,mz-i7HXAdFE,"Ekkadiki Pothavu Chinnavada Latest Telugu Full Movie | Nikhil, Hebah Patel, Avika Gor | 2017","Ekkadiki Pothavu Chinnavada Latest Telugu Full Movie Movie: Ekkadiki Pothavu Chinnavada, Cast: Nikhil Siddharth,Hebah Patel, Nandita Swetha,Avika Gor,Raja Ravindra, Director: Vi Anand, Music:...",https://i.ytimg.com/vi/mz-i7HXAdFE/default.jpg,Volga Video,UCIeNlITYK46VkR7yIuTL8GQ,6536875,24642,2505,2378
8,0nJCvvnk7OM,"Last Bus Latest Telugu Full Movie - 2017 Telugu Full Movies - Avinash, Narasimha Raju, Megha Sri","Watch Latest Suspense Thriller ""Last Bus"". Movie is the dubbed version of Kannada Blockbuster ""Last Bus"" which collected over 25 crores at the BoxOffice. Several Online reviews gave 3.5/5 rating...",https://i.ytimg.com/vi/0nJCvvnk7OM/default.jpg,Bhavani HD Movies,UCgFyj4ZYwFOhaosUvrYne_w,310497,550,187,96
9,8lw5KyU3aoQ,"Raja Meeru Keka Full Movie | Telugu Latest Full Movies 2017 | Lasya, Taraka Ratna | Sri Balaji Video","Watch Raja Meeru Keka Full Movie Exclusively on #SriBalajiVideo. #RajaMeeruKeka Movie Starring Lasya, Taraka Ratna, Revanth, Noel Sean, Mirchi Hemanth, Shobhita Rana, Posani Krishna Murali,...",https://i.ytimg.com/vi/8lw5KyU3aoQ/default.jpg,SriBalajiMovies,UCoy3dQzEdq1y2zMnT4pdj3Q,3222385,6955,2176,608
