,id,title,description,thumbnail,channelTitle,channelId,viewCount,likeCount,dislikeCount,commentCount
0,HHxN7hmV4ww,How to Make Money Online with Binary Trading - $2000 in 5 minutes [Binary Strategy 2017],How to Make Money Online with Binary Trading - $2000 in 5 minutes -Binary Strategy 2017 FREE Trading on DEMO Account - http://binopts.com/binary-trading Binary Trading is basically “all-or-noth...,https://i.ytimg.com/vi/HHxN7hmV4ww/default.jpg,Imba Trader,UC5HIaOl8Oj8VE1TXy_v_FMA,127458,1040,153,394
1,4VmY1Q5bKBg,How to Make Money Online ~ Binary Options Trading Tutorial,Join today http://www.traderush.us/ for free! http://www.binaryaccess.com/ HOW BINARY OPTIONS WORK With binary options you can invest a small or large amount from $5 up to $15000 on a single...,https://i.ytimg.com/vi/4VmY1Q5bKBg/default.jpg,1ycs5,UCrSBnV5MyZlqr_YltfPOSkw,13412,72,6,110
2,9l4FoNOA8BE,"Earn Money Online Without Investment -  Trading Software A Guaranteed $4,385,62 Every Month!’",Click Here =▻ http://tinyurl.com/jn7zlnu ------------------------------------------------------------------- Earn Money Online Without Investment - Trading Software A...,https://i.ytimg.com/vi/9l4FoNOA8BE/default.jpg,Digital Marketing & Investment Trading,UCcjb-cHJyMBRDja5n904ZVQ,15143,13,3,10
3,6gXiYK4ww5g,New App Online Trading Earn Unlimited Paytm and Freecharge cash jaldi Loot lo||,Reffer code KCOXPWAA App link https://play.google.com/store/apps/details?id=com.onlinestock.trading Subscribe our channel for more new offer video and letest update 100% Free from...,https://i.ytimg.com/vi/6gXiYK4ww5g/default.jpg,Tehno Family,UCD_9cphD0gPT097jE35Sinw,490,19,7,14
4,MRnoT9-swTQ,⚡⚡ Make Money With Bitcoin: Day #4⚡⚡ Earn Free Bitcoin in Cryptocurrency Trading - PROVEN METHOD!,"Earn Free Bitcoin in Cryptocurrency Trading 2017 - Cryptocurrency Technical Analysis http://BossofBitcoin.com Topics Covered: free bitcoin,best crypto,investing,cryptocurrency,what is bitcoin,bitc...",https://i.ytimg.com/vi/MRnoT9-swTQ/default.jpg,Brandon Kelly Crypto Trader,UC-f5nPBEDyUBZz_jOPBwAfQ,4101,255,7,57
5,sojDHwLy7eo,How to Earn Money via Forex Trading without investment,"In this Lecture I will Teach you How to Earn Money via Forex Trading without investment , for more info visit http://forexustaad.com Thank you !",https://i.ytimg.com/vi/sojDHwLy7eo/default.jpg,ForexUstaad.com,UColKJfR46umR3KAnM0ggMKQ,25933,293,27,90
6,5aaOgaHpdc0,Free unlimited PAYTM CASH-Microcoin.biz | Earn daily paytm cash doing trading and mining microcoin👍,My new channel :- https://www.youtube.com/channel/UCmZlLK3mN5qKJuKx2ZoQ_Rg?sub_confirmation=1 Sponsor code :- 9504425318 Sponsor code :- 9504425318 Sponsor code :- 9504425318 *Join ₹...,https://i.ytimg.com/vi/5aaOgaHpdc0/default.jpg,Work With Dileep,UCy29WE7aVFu-9W5h0yI1CqQ,902,14,4,9
7,2JZMj7kIrCI,Start free cryptocurrency trading and earn free 0.005 BTC daily youtube in hindi,join link-http://1ink.cc/Bsx7 my website-http://1ink.cc/IBAy.,https://i.ytimg.com/vi/2JZMj7kIrCI/default.jpg,Money Guru AskVerma,UC2xOpz8OuO9KjDCrnlrQSuw,287,5,0,3
8,sZVO64YvNos,gold/silver(mcx commodity) online trading in pocket money & few minutes,9619748433 9930715011 WWW.SPEEDEARNING.IN FREE STOCK MARKET TRADING TIPS FREE NSE FUTURES & OPTION TRADING TIPS BEST STOCK MARKET ADVISORY IN INDIA BEST ONLINE TRADING TIPS -~-~~-~~~-~~-~-...,https://i.ytimg.com/vi/sZVO64YvNos/default.jpg,Pankaj Jain,UCmo_Y2q_BAJ30ZTg6Qhcytg,39208,261,27,44
9,VWDVHCXfKzM,"भारत की 4 बेहतरीन ट्रेडिंग मोबाइल एप्स, Best Mobile Trading Apps in India - 2017 (in Hindi)",इस वीडियो को देखिए और जानिए भारत की 4 सबसे बेहतरीन मोबाइल एप्स के बारे में....,https://i.ytimg.com/vi/VWDVHCXfKzM/default.jpg,A Digital Blogger,UCksVr8lIwOPd1UtJkE3mdJQ,231238,2088,294,78
10,WNhqiBUPL3Y,Online Trading App||How to earn free paytm cash in online Trading App||Telugu||,"Online Trading, Join this app and use my referral code 319KL https://play.google.com/store/apps/details?id=com.online.tra.",https://i.ytimg.com/vi/WNhqiBUPL3Y/default.jpg,TEC EXP,UC_xiu9EmOjqSOl-Sc7zFeIA,206,3,3,10
11,Ropprzb5kY8,Online Foreign Currency Trading: Earn Money While Surfing the Net,http://www.HistoryBegins.org - Alpari is one of the Forex brokers that offer online foreign currency trading or Forex trading on-the-spot to its customers. The company's primary goal is to...,https://i.ytimg.com/vi/Ropprzb5kY8/default.jpg,DomainFlippingX,UCs0-XXOnghQujlW_8CDIw7g,4730,32,1,12
12,wLx-QfcuJmQ,How to earn money by doing trading with cryptocurrency ? - Telugu,"In This Video I'm Telling About "" How to earn money by doing trading with cryptocurrency ? - Telugu "" - [ Binance ] Link To Join :- https://goo.gl/frvXh6 - [ Bitconnect ] Link To Join :- https://go...",https://i.ytimg.com/vi/wLx-QfcuJmQ/default.jpg,mana telugu tech,UCnxaRDS5GWa6ibJpUHFkeZw,2741,56,5,44
13,MaI8YhcwQOk,Crypto Currency Trading Introduced ! Earn 1 Btc Easily Every Month!,"Hello friends, Join Crypto Trading On : https://poloniex.com You Can Follow Me On Fb : https://www.facebook.com/sumit.kapoor.1291 I hope you all make good money by doing crypto currency...",https://i.ytimg.com/vi/MaI8YhcwQOk/default.jpg,Money Guru,UC_d3dOruc-Y0CNzoNRLPDzw,87071,2051,201,351
14,afQqN9ubDOk,FREE Trading Lesson: How to Trade Gold Stocks (and Silver Stocks) For Profit!,"Get access to these live trading videos with veteran trend trader, Jerry Robinson, every Tuesday and Friday morning... http://ftmdaily.com/pro In this archived video dated Feb. 9, 2016, Jerry...",https://i.ytimg.com/vi/afQqN9ubDOk/default.jpg,Follow the Money,UCEL6mJKnIwoC8TohEvcvSkw,13032,150,4,13
15,1Y6jWeweUqw,Google Trader Software Review 2017 - Is GoogleTrader Binary Options  Trading System Safe? - Youtube,"To Make Income Online. . . Get Your Free Crash Course By Clicking Here: http://superiorfuture.net/Crash/Course Hi Pete Here, OK guys... get the 100% REAL truth about Binary Options Trading...",https://i.ytimg.com/vi/1Y6jWeweUqw/default.jpg,Crypto Hacker,UCKri4AqTaefqq1NYz0p0zKQ,22842,75,13,34
16,n6yW7fXwAu0,HOW TO EARN MONEY IN STOCK MARKET,"How to Make Money in Stock Market Consistently [Hindi] In this video, I have explained all the basic essentials that beginners would like to know about trading in the stock market with the...",https://i.ytimg.com/vi/n6yW7fXwAu0/default.jpg,MAKEPROFITWITHUS.COM,UCo27bHgoHrS0pNinNWSAqdA,777,15,1,9
17,m7UOXkIESLM,Iq  option open account earn money online trading naaw king,income on pc par b use kar sakty ho ghar bath k thori se mant sa hazaroon kamoo bas thori manat karo Kamyabi Allah day ga Agar video achi lagi to subscribe lazmi karna Agar koi masla ho...,https://i.ytimg.com/vi/m7UOXkIESLM/default.jpg,Naaw King,UC7wX-rz-bAuX_IPODnLwImg,97,5,3,2
18,yC77A5BEKUg,How Much Money Do You Need to Start Trading for a Living?,"How Much Money Do You Need to Start Trading for a Living? ☆ SUMMARY ☆ When I look at this question, I see the answer in two parts: 1) what kind of lifestyle do you want? and 2) how much...",https://i.ytimg.com/vi/yC77A5BEKUg/default.jpg,Sasha Evdakov,UCANbiv7ZczMkNh67X2IYMrA,516562,4483,464,605
19,NHGegxBG8eM,"Earn 5,000 Rupees Daily Paytm Cash Using This App 2018 | HINDI",Earn 5000 Rupees Daily Paytm Cash Using This App 2018 | HINDI Download This New *Updated 100% App: https://drive.google.com/file/d/1RF7d-2fgRCCKtfvUop6zfvX3KEyEX7J-/view?usp=drivesdk earn...,https://i.ytimg.com/vi/NHGegxBG8eM/default.jpg,MBBS MD MS,UCZVwaK3oK6veff3LipVtmxw,3385,25,24,8
20,g4VdNa7y9KI,Options Trading For Beginners - How To Make Money Online with Binary Options - Working 2017,Options Trading For Beginners - How To Make Money Online with Binary Options - Working 2017 FREE Trading on DEMO Account - http://binopts.com/reversal-strategy I came into internet marketing...,https://i.ytimg.com/vi/g4VdNa7y9KI/default.jpg,Imba Trader,UC5HIaOl8Oj8VE1TXy_v_FMA,148874,1385,142,825
21,SfjNfEuqabw,This is How I Make Money Easily With Robinhood Free Stock Trading - Video Proof + Get a Free Stock,This is How I Make Money Easily With Robinhood Free Stock Trading - Video Proof + Get a Free Stock. Use This Link to Claim Your Free Stock Now: http://share.robinhood.com/garnetk Click The...,https://i.ytimg.com/vi/SfjNfEuqabw/default.jpg,streetcredstudio,UCWQNxN6-Ur_VJyBR1YRxbeQ,664,9,3,5
22,LciORpR2cMs,Cryptocurrency trading - How you Can Earn 34 Bitcoin - Trading on Alt coin -Hindi & urdu,Get Crypto Signal Join Here : https://t.me/joinchat/AAAAAEHzDkuyW82a10U2kg How you Can Earn 34 Bitcoin - Trading on Alt coin - cryptocurrency trading- Hindi & urdu : https://youtu.be/LciORpR2cMs....,https://i.ytimg.com/vi/LciORpR2cMs/default.jpg,Make Money Guru,UC6wdBdKsEPYgId3apl7QMog,11461,271,29,74
23,6Xdh2Xq3v8A,How to do Binary Options Trading | Earn Money Online | Binary Options Trading,How to Trade in Binary Options | Earn money With Binary Options Trading | Get paid for Binary Trades START HERE: http://goo.gl/N2kVz8 OR Here: http://goo.gl/YRHB4n Binary Options Trading...,https://i.ytimg.com/vi/6Xdh2Xq3v8A/default.jpg,Arthur Gilles,UCORvjx1O2uh2cGY_ZfWSWSw,2559,4,0,8
24,6cohYnYynsk,mcx free tips get 2000/- daily in crude MINI LOT mcx trading with very low risk,www.speedearning.com 9619748433 Best ncdex tips advisor in mumbai Mcx tips advisory services in Mumbai Best mcx tips for beginners Stock broker course in india Online stock market courses...,https://i.ytimg.com/vi/6cohYnYynsk/default.jpg,Pankaj Jain,UCmo_Y2q_BAJ30ZTg6Qhcytg,132610,601,61,81
25,8QDeIcMLRjc,Forex Live Trading - How To Make $1500 In No Time At All,"http://forextradersdaily.com/dailymentoring/ross2-2/ click here. Learn how to REALLY make money in the markets by watching Dustin Pass, one of the world's best Forex Traders. Begin by watching...",https://i.ytimg.com/vi/8QDeIcMLRjc/default.jpg,Forex Traders Daily,UCdGWPON5o7fXDNmyRl3NEAA,283634,878,132,326
26,vDCMZZvi3VM,"Earn $70,20 Real Money Using Automated Trading Website","FREE $100 Trading Strategy ▻ http://2by.us/system 1. Login to account 2. Deposit money into your broker (min. $250) 3. Click on Auto-Trade 4. Make at least $400 a day! Earn $70,20 Real...",https://i.ytimg.com/vi/vDCMZZvi3VM/default.jpg,David Wills,UCBI218NPXVBg9-XEVtBuhaA,421,31,0,0
27,sGXgfdfxPl8,Make Money Online with Binary Options - Get FREE trading Strategy,"Open FREE $100 Account: http://2by.us/system I've made quite a few thousands online and withdraw already, so it must be legitimate way to make money online. What is unique about binary options...",https://i.ytimg.com/vi/sGXgfdfxPl8/default.jpg,Investment Trading,UCgnz9TGwwRQOBBgtMqpi2Mg,1375,39,0,16
