,id,title,description,thumbnail,channelTitle,channelId,viewCount,likeCount,dislikeCount,commentCount
0,dYovxejT-rA,Top 20 Hindi songs (March 2017),,https://i.ytimg.com/vi/dYovxejT-rA/default.jpg,Top Choice,UCZV3yub3q442cA8Q4tvbGHg,10087658,44329,6926,2295
1,EEXcCowsOgs,EN ÇOK İNDİRİLEN ŞARKILAR TOP 20 (iTunes) | 15 Ocak 2018,"EN ÇOK İNDİRİLEN ŞARKILAR TOP 20 (iTunes) | 15 Ocak 2018 Claw Music kanalından merhaba, bugün sizlere yeni bir liste olan ''Türkiye'de En Çok İndirilen Şarkılar top 20 (iTunes)...",https://i.ytimg.com/vi/EEXcCowsOgs/default.jpg,Claw Music,UCxIu_pM5sAI53lQPKVzaijg,14284,457,10,158
2,zu3iCi0wAC8,Tôi đã nghiện! Còn bạn thì sao? TOP 20 BẢN  NHẠC ĐIỆN TỬ GÂY NGHIỆN SỐ MỘT THẾ GIỚI 2017,Tôi đã nghiện! Còn bạn thì sao? TOP 20 BẢN NHẠC ĐIỆN TỬ GÂY NGHIỆN SỐ MỘT THẾ GIỚI 2017 ○ Nguồn ảnh và tác giả (Author): GUWEIZ (https://www.facebook.co...,https://i.ytimg.com/vi/zu3iCi0wAC8/default.jpg,Anime EDM VN,UCW_B3dxaXNsVQ_7q4fU9aTw,8352205,56298,3078,5141
3,tgltqcY_Tbw,TOP 20 - Musicas Internacionais 2017 ♫ Melhores Musicas  Pop Internacional 2017 ♫,TOP 20 - Musicas Internacionais 2017 ♫ Melhores Musicas Pop Internacional 2017 ♫ ▷   Mix By DJEric: https://youtu.be/tgltqcY_Tbw ▽ Follow KingEric - Músicas Eletrônicas ⤵  ...,https://i.ytimg.com/vi/tgltqcY_Tbw/default.jpg,KingEric - Músicas Eletrônicas,UCeuS-BnyrYu9BGiNRBtYEgg,8114651,64088,5854,1893
4,Dhfs4jp9A-Q,Top 20 Board Games of 2017 - Actualol,The best board games that came out in 2017. Help Actualol grow bigger and better by supporting the Patreon: https://www.patreon.com/actualol Amazon Affiliate links to buy: 20. Mask of Moai...,https://i.ytimg.com/vi/Dhfs4jp9A-Q/default.jpg,Actualol,UCO-hn9MJOu7pOUdGSabKGvA,4447,163,0,34
5,Q1rhoq77dcY,Top 20 Unexpected Goals In Football,INSTAGRAM: https://www.instagram.com/dan1s/ ▻PLEASE SUBSCRIBE: http://www.youtube.com/c/Dan1s?sub_confirmation=1 Title: Top 20 Unexpected Goals In Football ♫ Music List: Meizong - Melood...,https://i.ytimg.com/vi/Q1rhoq77dcY/default.jpg,Dan1s,UCvcLCMmInjvU_p7FEePAo0g,38135348,98208,12980,6025
6,8XJHEe1hhPY,Top 20 Most Bizarre Vehicles Of All Time,"These top vehicles are so bizarre, they'll leave you in appreciation of the ""normal"" vehicle you ride in every day. Here are the Top 20 Most Bizarre Vehicles Of All Time Subscribe for more!...",https://i.ytimg.com/vi/8XJHEe1hhPY/default.jpg,Be Amazed,UCkQO3QsgTpNTsOw6ujimT5Q,210578,2924,219,373
7,kchvrvlK72k,Top 20 Hindi Songs June 2017 🎧🎤🎵,Audio & Video for india Thank you for watching this video. Follow Me On Instagram :-https://www.instagram.com/himanshu_yadav_hy99/,https://i.ytimg.com/vi/kchvrvlK72k/default.jpg,Audio & Video for india,UClb3Abc_BhlmCQwRJI44d-w,558054,1700,372,68
8,W5ksZzTLR9o,Top 20 NEW Open World Games of 2018,"It looks like there will be plenty of open world gaming in 2018 for PC, PS4, Xbox One, and Nintendo Switch. Here are the games we're looking forward to. Subscribe for more: http://youtube.com/gamer...",https://i.ytimg.com/vi/W5ksZzTLR9o/default.jpg,gameranx,UCNvzD7Z-g64bPXxGzaQaa4g,427755,17793,365,2365
9,TRj2CuehYtQ,KRAL POP TOP 20 TV LİSTESİ | 9 OCAK 2018,"KRAL TV TOP 20 ŞARKI LİSTESİ | 9 OCAK 2018 Herkese Claw Music Kanalından Merhaba,bugün sizlere ''KRAL TV TOP 20 ŞARKI LİSTESİ'' paylaşacağım. Kanalda her hafta Kral Pop Top 20 Listesi,ha...",https://i.ytimg.com/vi/TRj2CuehYtQ/default.jpg,Claw Music,UCxIu_pM5sAI53lQPKVzaijg,22924,280,14,92
10,97RqvVbO1DQ,Top 20 Hax Fox Combos - Super Smash Bros,"The year is 20XX, everyone plays Fox. Thanks for watching! Special thanks to: Hax: https://twitter.com/ssbmhax SIG Melee: https://www.twitch.tv/sigmelee Nebulous: https://www.youtube.com/channe...",https://i.ytimg.com/vi/97RqvVbO1DQ/default.jpg,GRsmash,UCTVVDt-QGxBTOqPOQuK6Y-g,80958,1963,26,274
11,cHNfHCPA8tU,Top 20 UFC Strikes That Will Never Be Forgotten...,"BLTV takes a look at the top 20 best standing strikes in UFC history, with HD highlights in 60fps.",https://i.ytimg.com/vi/cHNfHCPA8tU/default.jpg,Boxing Legends TV,UCuHeVY3bLH1OdhhQ_KyJnUA,8401808,29516,3561,2377
12,JYxGEI3E0Xk,KRAL POP TOP 20 TV LİSTESİ | 25 ARALIK 2017,"KRAL POP TOP 20 TV LİSTESİ | 25 ARALIK 2017 Herkese Claw Music Kanalından Merhaba,bugün sizlere KRAL POP TOP 20 TV LİSTESİ'ni paylaşacağım. Kanalda her hafta Kral Pop Top 20 Listesi,haftan...",https://i.ytimg.com/vi/JYxGEI3E0Xk/default.jpg,Claw Music,UCxIu_pM5sAI53lQPKVzaijg,63935,445,31,130
13,aU5ZzJfKVuA,TOP 20 SINGLE CHARTS - 16. DEZEMBER 2017,Top 20 Single Charts Dezember 2017 ❌ Jetzt KOSTENLOS ABONNIEREN: http://bit.ly/2h6KFzQ ❌ *Einen Monat Alle Songs GRATIS hören: http://amzn.to/2kdAfO2 ❌INSTAGRAM: http://bit.ly/2fttyEI...,https://i.ytimg.com/vi/aU5ZzJfKVuA/default.jpg,TopGermanCharts,UCVX1ZYSGMrUdUcsL83s9NKg,56012,626,26,43
14,pys9EBEUbFA,Top 20 Largest Sea Creatures that EVER Existed!,From giant sharks to huge whales there are some amazing large sea monsters that have inhabited our oceans. You'll be amazed by this list of the Top 20 Largest Sea Creatures that EVER Existed!...,https://i.ytimg.com/vi/pys9EBEUbFA/default.jpg,Be Amazed,UCkQO3QsgTpNTsOw6ujimT5Q,945222,4638,608,730
15,ObUlIoYXLVU,EN ÇOK İNDİRİLEN ŞARKILAR TOP 20 (iTunes) | 29 Aralık 2017,"EN ÇOK İNDİRİLEN ŞARKILAR TOP 20 (iTunes) | 29 Aralık 2017 Claw Music kanalından merhaba, bugün sizlere yeni bir liste olan ''Türkiye'de En Çok İndirilen Şarkılar top 20 (iTunes)...",https://i.ytimg.com/vi/ObUlIoYXLVU/default.jpg,Claw Music,UCxIu_pM5sAI53lQPKVzaijg,22978,386,16,147
16,Q3Bh3NHXBN8,"Top 40 Songs of The Week - January 20, 2018 (UK BBC CHART)","Top 40 Songs of the Week in UK, ranked by BBC Best Songs Of The Week In UK January 2018 Best Songs January 2018 A collection of the top 40 most popular songs for this week in The United...",https://i.ytimg.com/vi/Q3Bh3NHXBN8/default.jpg,TopMusicMafia,UCVDKPOPmcsZuEjLVqFgQDcg,55815,1344,45,125
17,f8hoezh8mvE,TOP 20 SINGLE CHARTS - 7. JANUAR 2018,Top 20 Single Charts Januar 2018. ❌ Jetzt KOSTENLOS ABONNIEREN: http://bit.ly/2h6KFzQ ❌ *Einen Monat Alle Songs GRATIS hören: http://amzn.to/2kdAfO2 ❌Folgt uns jetzt auf Instagram...,https://i.ytimg.com/vi/f8hoezh8mvE/default.jpg,TopGermanCharts,UCVX1ZYSGMrUdUcsL83s9NKg,40859,614,26,50
18,oSuR13-FNiY,TOP 20 SINGLE CHARTS - 1. JANUAR 2018,Top 20 Single Charts Januar 2018. ❌ Jetzt KOSTENLOS ABONNIEREN: http://bit.ly/2h6KFzQ ❌ *Einen Monat Alle Songs GRATIS hören: http://amzn.to/2kdAfO2 ❌Folgt uns jetzt auf Instagram...,https://i.ytimg.com/vi/oSuR13-FNiY/default.jpg,TopGermanCharts,UCVX1ZYSGMrUdUcsL83s9NKg,69310,767,30,64
19,9Gt_-yO72LI,Top 20 Crazy Ideas That Actually Worked,"Sometimes, our mind brings out ideas that are a little illogical or outlandish or just downright crazy. Funny thing is, there are scenarios when these wacky ideas actually work! Here are the...",https://i.ytimg.com/vi/9Gt_-yO72LI/default.jpg,Be Amazed,UCkQO3QsgTpNTsOw6ujimT5Q,978400,6506,868,914
20,ANAEKTj7UDQ,中國有嘻哈人氣TOP20，你會唱哪些？【純享版】,Harry Hu頻道嘻哈人氣排名前20已出爐TOP20當中一定有你喜歡的~ 【with KTV導唱字幕】【純享版】 【聽嘻哈，唱嘻哈，訂閱Harry Hu頻道，你也是嘻哈歌手！】,https://i.ytimg.com/vi/ANAEKTj7UDQ/default.jpg,Harry Hu,UCaefspdNscqSN-0clTYF5EA,405887,2957,161,280
21,US5vf3gZe9Y,Top 20 funniest | عملوها ازاي دي ؟,mbc action .. مدبلج.,https://i.ytimg.com/vi/US5vf3gZe9Y/default.jpg,launezma,UCtB6FvuK8puFGEt6v8wJAhw,403953,2635,138,127
22,zt9dE-GjP2U,TOP 20 DANCE CHARTS - JANUAR 2018,Top 20 Dance / EDM Charts Januar 2018. ❌ Jetzt KOSTENLOS ABONNIEREN: http://bit.ly/2h6KFzQ ❌ *Einen Monat Alle Songs GRATIS hören: http://amzn.to/2kdAfO2 ❌Folgt uns jetzt auf Instagram...,https://i.ytimg.com/vi/zt9dE-GjP2U/default.jpg,TopGermanCharts,UCVX1ZYSGMrUdUcsL83s9NKg,29537,438,13,43
23,i7MtYfUhfiQ,Top 20 songs of TheFatRat 2017 - TheFatRat Mega Mix,Top 20 songs of TheFatRat 2017 - TheFatRat Mega Mix Track list : 01. TheFatRat - Fly Away feat. Anjulie 02. TheFatRat - Unity 03. TheFatRat & JJD - Prelude (VIP Edit) 04. TheFatRat - Monody...,https://i.ytimg.com/vi/i7MtYfUhfiQ/default.jpg,Magic NCS,UCoDZIZuadPBixSPFR7jAq2A,4454246,39055,1380,3973
24,ziI1YSne4Og,Top 20 Creatures You Never Knew Existed,"There are still countless species left undiscovered by science, but even of those that have been discovered, not all of them are commonly known. Today I present to you the top 20 creatures...",https://i.ytimg.com/vi/ziI1YSne4Og/default.jpg,Be Amazed,UCkQO3QsgTpNTsOw6ujimT5Q,294020,3409,199,420
25,pLZq3jgE6qA,Top 20 songs of Tobu - Best Of Tobu,Top 20 songs of Tobu - Best Of Tobu Tobu Collection ☞ Follow Magic NCS : Facebook → https://goo.gl/fWA96C Subscribe → https://goo.gl/IAgUeH Track list : 1. Tobu - Candyland Start to...,https://i.ytimg.com/vi/pLZq3jgE6qA/default.jpg,Magic NCS,UCoDZIZuadPBixSPFR7jAq2A,7031336,58636,1907,4406
26,8LsiJXkcTAk,Best Songs Ever of J Fla   Top 20 Cover Songs,0:00 - Let Me Love You & Faded 2:27 - We Don't Talk Anymore & I Hate U I Love U 4:45 - Closer 7:22 - Sugar 9:59 - Maps 12:13 - Animals 14:39 - Don't Let Me Down 18:07 - Cold Water 20:20 - Treat...,https://i.ytimg.com/vi/8LsiJXkcTAk/default.jpg,9Bankgamemakerstudio,UCcfHCinrrKN0cujqCI3hBKg,2313324,12085,1014,477
